conn,load,meanLat,reqPerSec
1,1,11.633,1.07
1,21,14.552,22.46
1,41,12.394,42.30
1,61,10.793,61.43
1,81,9.291,81.56
1,101,8.441,100.83
1,121,8.908,120.66
1,141,9.109,140.60
1,161,9.708,160.75
1,181,12.335,180.55
1,201,13.467,200.69
1,221,32.511,219.56
1,241,32.347,239.86
1,261,461.402,255.53
1,281,1676.872,255.22
1,301,2062.821,259.87
1,321,2335.410,248.35
1,341,2189.983,258.46
1,361,2308.962,254.42
1,381,2259.996,257.92
1,401,2296.921,257.32
1,421,2322.599,254.69
1,441,2173.530,247.52
1,461,2326.038,257.16
1,481,2213.832,252.36
1,501,2324.138,256.69
1,521,2090.059,256.03
