nbn,load,reqPerSec
2,1,0.966667
2.1,1,0.966667
2,101,100.967
2.1,101,100.967
2,201,200.933
2.1,201,200.933
2,301,300.933
2.1,301,300.933
2,401,400.9
2.1,401,400.9
2,501,500.9
2.1,501,500.9
2,601,600.867
2.1,601,600.867
2,701,700.867
2.1,701,700.867
2,801,800.833
2.1,801,800.833
2,901,900.8
2.1,901,900.8
2,1001,1000.8
2.1,1001,1000.8
2,1101,1100.8
2.1,1101,1100.8
2,1201,1200.73
2.1,1201,1200.73
2,1301,1300.73
2.1,1301,1300.73
2,1401,1400.7
2.1,1401,1400.7
2,1501,1500.73
2.1,1501,1500.7
2,1601,1600.67
2.1,1601,1600.63
2,1701,1700.63
2.1,1701,1620.6
2,1801,1800.63
2.1,1801,1549.27
2,1901,1900.6
2.1,1901,1482.87
2,2001,2000.6
2.1,2001,1420.77
2,2101,2100.5
2,2201,2200.53
2,2301,2234.77
2,2401,2173.97
2,2501,2115.5
2,2601,2059.4
